original_folder,inferred_industry,site_type,framework,package_manager,build_command,static_export,identifiable_content_risk,image_licensing_risk,proposed_identity,output_folder,disposition
Automotive Shop Site,Automotive,Repair and service,mixed/unknown source; reconstructed static,none,none,yes,high in archive / removed from output,unresolved / source images excluded,Aleph Motor Works,03_RECONSTRUCTED_SITES/automotive/aleph-motor-works,approved_for_conversion
Construction Site,Construction,Commercial and residential construction,mixed/unknown source; reconstructed static,none,none,yes,high in archive / removed from output,unresolved / source images excluded,Aleph Build Group,03_RECONSTRUCTED_SITES/construction/aleph-build-group,approved_for_conversion
Contracting Site,Contracting,Local trade services,mixed/unknown source; reconstructed static,none,none,yes,high in archive / removed from output,unresolved / source images excluded,Aleph Contracting Co.,03_RECONSTRUCTED_SITES/contracting/aleph-contracting,approved_for_conversion
Licensed Therapists Site,Therapy,Counseling practice,mixed/unknown source; reconstructed static,none,none,yes,high in archive / removed from output,unresolved / source images excluded,Aleph Counseling,03_RECONSTRUCTED_SITES/therapy/aleph-counseling,approved_for_conversion
Life Coach Site,Coaching,Life coaching,mixed/unknown source; reconstructed static,none,none,yes,high in archive / removed from output,unresolved / source images excluded,Aleph Pathways,03_RECONSTRUCTED_SITES/coaching/aleph-pathways,approved_for_conversion
Clothing Site,Clothing,Apparel retail,mixed/unknown source; reconstructed static,none,none,yes,high in archive / removed from output,unresolved / source images excluded,Aleph Clothiers,03_RECONSTRUCTED_SITES/clothing/aleph-clothiers,approved_for_conversion
Media Site,Media,Production studio,mixed/unknown source; reconstructed static,none,none,yes,high in archive / removed from output,unresolved / source images excluded,Aleph Creative House,03_RECONSTRUCTED_SITES/media/aleph-creative-house,approved_for_conversion
Fan Site,Entertainment,Community fan experience,mixed/unknown source; reconstructed static,none,none,yes,high in archive / removed from output,unresolved / source images excluded,Aleph Fan Hub,03_RECONSTRUCTED_SITES/entertainment/aleph-fan-hub,approved_for_conversion
Pet Site,Pet Services,Pet care and grooming,mixed/unknown source; reconstructed static,none,none,yes,high in archive / removed from output,unresolved / source images excluded,Aleph Pet Care,03_RECONSTRUCTED_SITES/pet-services/aleph-pet-care,approved_for_conversion
Research Site,Research,Digital research collection,mixed/unknown source; reconstructed static,none,none,yes,high in archive / removed from output,unresolved / source images excluded,Aleph Research Library,03_RECONSTRUCTED_SITES/research/aleph-research-library,approved_for_conversion
Kid Friendly Site,Education,Child-friendly learning portal,mixed/unknown source; reconstructed static,none,none,yes,high in archive / removed from output,unresolved / source images excluded,Aleph Kids Discovery,03_RECONSTRUCTED_SITES/education/aleph-kids-discovery,approved_for_conversion
Trucking Site,Trucking,Freight and logistics,mixed/unknown source; reconstructed static,none,none,yes,high in archive / removed from output,unresolved / source images excluded,Aleph Logistics,03_RECONSTRUCTED_SITES/trucking/aleph-logistics,approved_for_conversion
Sports Site,Sports,Sports organization,mixed/unknown source; reconstructed static,none,none,yes,high in archive / removed from output,unresolved / source images excluded,Aleph Athletics,03_RECONSTRUCTED_SITES/sports/aleph-athletics,approved_for_conversion
Extreame Sports Site,Outdoor Recreation,Adventure sports,mixed/unknown source; reconstructed static,none,none,yes,high in archive / removed from output,unresolved / source images excluded,Aleph Outdoor Adventure,03_RECONSTRUCTED_SITES/outdoor-recreation/aleph-outdoor-adventure,approved_for_conversion
